Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Transmission_Manual,Fuel_Type_Petrol,First_Owner
2019,11571,Petrol,Manual,First,16.8,796,34.2,8,3800,1,1,1
2014,81000,Diesel,Manual,First,25.2,1248,74,5,6100,1,0,1
2019,23154,Diesel,Manual,First,23,1498,98.96,5,11650,1,0,1
2014,26856,Petrol,Automatic,First,16.5,1198,86.8,5,4150,0,1,1
2017,67489,Diesel,Manual,First,13.68,2393,147.8,7,16500,1,0,1
2008,176000,Diesel,Manual,Second,10.5,2179,120,8,4300,1,0,0
2010,18000,Petrol,Manual,First,18.5,1197,80,5,2250,1,1,1
2014,63003,Diesel,Manual,First,22.32,1582,126.32,5,6750,1,0,1
2014,80000,Diesel,Manual,First,15.1,2179,140,7,9400,1,0,1
2014,56658,Diesel,Manual,First,20.64,1498,108.5,5,5390,1,0,1
2019,18592,Diesel,Manual,First,26.59,1248,74,5,8510,1,0,1
2010,75695,Petrol,Manual,First,13.7,1368,88.8,5,1850,1,1,1
2012,82000,Diesel,Manual,Second,22.9,1248,74,5,2500,1,0,0
2013,60000,Diesel,Manual,First,22.07,1199,73.9,5,4750,1,0,1
2009,138000,Petrol,Manual,Second,17,1497,118,5,3500,1,1,0
2014,67000,Diesel,Manual,First,23,1396,90,5,5500,1,0,1
2012,42750,Petrol,Manual,First,17,1497,118,5,6330,1,1,1
2014,52398,Diesel,Manual,First,25.44,936,57.6,5,2470,1,0,1
2014,36657,Petrol,Manual,First,16.2,995,62.1,5,3300,1,1,1
2011,77000,Diesel,Manual,Second,11.57,2179,138.1,7,3500,1,0,0
2014,85000,Diesel,Automatic,First,11.3,2987,254.8,7,38750,0,0,1
2008,112500,Diesel,Automatic,First,11.5,2993,235,5,7990,0,0,1
2013,105072,Diesel,Manual,First,14.24,2755,174.5,7,13280,1,0,1
2012,80000,Petrol,Automatic,First,11.25,1995,150,5,9500,0,1,1
2019,3102,Diesel,Manual,First,20.37,1461,108.45,5,14010,1,0,1
2016,14656,Diesel,Manual,First,24.4,1120,71,5,6990,1,0,1
2010,105000,Diesel,Automatic,Second,13.2,1995,170,5,11000,0,0,0
2008,61000,Petrol,Automatic,Second,10.8,2497,215,5,11000,0,1,0
2010,85046,Petrol,Manual,Second,18.06,1198,75,5,2300,1,1,0
2014,48000,Diesel,Automatic,First,16.36,2179,187.7,5,26500,0,0,1
2011,55000,Diesel,Automatic,First,10.2,4367,308,7,67000,0,0,1
2017,4000,Petrol,Automatic,First,16,1368,160,5,17750,0,1,1
2010,94000,Petrol,Automatic,Second,10.1,2354,152,5,4800,0,1,0
2013,61110,Petrol,Manual,First,18.6,1197,85.8,5,4570,1,1,1
2016,80000,Diesel,Manual,First,24.4,1120,71,5,3500,1,0,1
2015,43190,Diesel,Manual,First,19.01,1461,108.5,5,7610,1,0,1
2015,45000,Diesel,Automatic,First,18.25,1968,187.74,5,25000,0,0,1
2016,44178,Petrol,Manual,First,18.9,1197,82,5,5880,1,1,1
2015,84415,Diesel,Manual,First,12.99,2494,100.6,8,13500,1,0,1
2015,35000,Petrol,Manual,First,18.5,1197,80,5,4600,1,1,1
2013,44000,Diesel,Manual,First,22.77,1498,98.59,5,4900,1,0,1
2012,67635,Petrol,Manual,First,17,1497,118,5,5250,1,1,1
2018,18385,Petrol,Automatic,First,14.8,1497,121.36,5,12410,0,1,1
2014,35000,Diesel,Manual,First,22.07,1199,73.9,5,3800,1,0,1
2010,49000,Diesel,Automatic,First,19.27,2143,170,5,8950,0,0,1
2013,69000,Diesel,Manual,First,22.7,1498,89.84,5,7200,1,0,1
2017,23228,Petrol,Manual,First,14.4,1396,65,5,4500,1,1,1
2014,68462,Diesel,Manual,First,26.59,1248,74,5,4150,1,0,1
2016,74611,Diesel,Manual,First,25.1,1248,88.5,5,7940,1,0,1
2014,90000,Diesel,Manual,First,19.01,1461,108.45,5,7250,1,0,1
2016,22000,Petrol,Manual,First,18.9,998,67.1,5,3700,1,1,1
2011,109500,Diesel,Manual,Third,25.44,936,57.6,5,1500,1,0,0
2017,13363,Diesel,Manual,First,16,1997,140,7,12000,1,0,1
2012,51000,Petrol,Manual,Second,19.81,1086,68.05,5,2200,1,1,0
2007,103000,Diesel,Manual,First,13.93,2179,138,7,3600,1,0,1
2009,43002,Petrol,Manual,First,20.36,1197,78.9,5,1920,1,1,1
2016,108000,Diesel,Automatic,First,11.36,2755,171.5,7,20500,0,0,1
2010,82407,Diesel,Manual,First,17.5,1896,106,5,4250,1,0,1
2013,29000,Petrol,Manual,First,18.9,1197,82,5,3200,1,1,1
2014,45000,Diesel,Manual,First,23.4,1248,74,5,3850,1,0,1
2010,93401,Diesel,Manual,First,23,1396,90,5,3480,1,0,1
2017,95802,Diesel,Manual,Second,25.83,1498,99,5,4550,1,0,0
2016,130000,Diesel,Manual,First,25.47,1248,88.5,7,7000,1,0,1
2013,67443,Diesel,Manual,First,20.77,1248,88.8,7,5750,1,0,1
2016,47681,Petrol,Automatic,First,16.8,1497,116.3,5,8730,0,1,1
2009,35000,Petrol,Manual,First,19.7,796,46.3,5,1700,1,1,1
2016,68000,Diesel,Automatic,First,10.91,3198,197,7,29500,0,0,1
2019,34688,Diesel,Manual,First,24.3,1248,88.5,5,10490,1,0,1
2015,10512,Petrol,Automatic,First,8.6,2706,265,2,64000,0,1,1
2016,58000,Diesel,Manual,First,22.9,1248,74,5,7550,1,0,1
2014,40000,Petrol,Manual,First,17.57,1193,88.7,5,3950,1,1,1
2010,61000,Petrol,Manual,Fourth & Above,17,1197,80,5,3250,1,1,0
2009,86000,Diesel,Manual,First,19.4,1422,70,5,2750,1,0,1
2015,45000,Diesel,Manual,First,21.43,1364,87.2,5,7350,1,0,1
2017,55000,Petrol,Manual,First,17,1198,73.75,5,4700,1,1,1
2016,36855,Petrol,Manual,Second,15.29,1591,121.3,5,8770,1,1,0
2013,46821,Petrol,Manual,First,20.36,1197,78.9,5,3420,1,1,1
2015,120000,Petrol,Manual,First,18.6,1199,76.8,5,2500,1,1,1
2012,29000,Diesel,Automatic,First,14.74,2993,270.9,5,20000,0,0,1
2014,40000,Petrol,Manual,First,13.24,1598,102.5,5,5250,1,1,1
2013,60000,Diesel,Automatic,Second,15.73,1968,174.33,5,14500,0,0,0
2011,64984,Petrol,Automatic,First,16.95,1197,78.9,5,3450,0,1,1
2015,73204,Petrol,Automatic,First,24.07,998,67.1,5,3300,0,1,1
2014,50000,Diesel,Automatic,First,11.33,4134,335.2,7,51000,0,0,1
2017,35000,Diesel,Manual,First,24.3,1248,88.5,5,6500,1,0,1
2013,17729,Petrol,Manual,First,21.1,814,55.2,5,3650,1,1,1
2012,97000,Diesel,Manual,First,20,1497,115,5,7250,1,0,1
2014,89614,Diesel,Manual,First,22,1582,126.2,5,6010,1,0,1
2015,14000,Petrol,Manual,First,18.9,998,67.1,5,2800,1,1,1
2012,50000,Petrol,Manual,First,17,1197,80,5,4000,1,1,1
2014,62505,Petrol,Manual,First,17.4,1497,117.3,5,5950,1,1,1
2011,248000,Diesel,Manual,Second,12.8,2494,102,7,9200,1,0,0
2012,94900,Diesel,Manual,First,16.8,1493,110,5,5350,1,0,1
2017,55000,Diesel,Manual,First,17.6,2179,153.86,7,12000,1,0,1
2015,53735,Diesel,Automatic,Second,12.07,2967,241.4,7,38940,0,0,0
2008,53934,Petrol,Manual,Second,18.9,998,67.1,5,2690,1,1,0
2013,58500,Diesel,Automatic,Second,17.09,1995,218,5,27500,0,0,0
2014,48000,Petrol,Manual,First,18,1198,86.7,5,2750,1,1,1
2016,24000,Petrol,Manual,First,24.7,796,47.3,5,2800,1,1,1
2016,52001,Petrol,Manual,First,17.01,1591,121.3,5,6450,1,1,1
2018,9565,Petrol,Manual,First,23.84,1199,84,5,5880,1,1,1
2013,32953,Petrol,Manual,First,18.6,1197,85.8,5,4650,1,1,1
2014,18000,Petrol,Manual,First,21.1,814,55.2,5,2500,1,1,1
2018,20446,Petrol,Automatic,First,12.6,1950,191.34,5,51350,0,1,1
2016,33016,Diesel,Manual,First,22.54,1396,88.73,5,6850,1,0,1
2012,48000,Diesel,Manual,First,23.59,1364,67.05,5,5250,1,0,1
2014,72022,Diesel,Manual,First,21.43,1364,87.2,5,9230,1,0,1
2014,34000,Diesel,Automatic,First,20.7,1496,113.98,5,22000,0,0,1
2014,69000,Diesel,Manual,First,20.14,1498,88.8,5,5190,1,0,1
2009,108000,Petrol,Automatic,First,13.7,1798,157.75,5,4350,0,1,1
2013,34700,Diesel,Automatic,First,10,2148,170,5,24500,0,0,1
2015,79000,Diesel,Manual,First,17.8,1248,75,5,5750,1,0,1
2016,58197,Petrol,Automatic,First,18,1497,117.3,5,9190,0,1,1
2008,66000,Petrol,Automatic,Second,8.45,2979,321,5,10750,0,1,0
2009,60000,Petrol,Automatic,First,19.2,1197,80,5,2990,0,1,1
2014,57000,Diesel,Manual,First,26.59,1248,74,5,3890,1,0,1
2018,45555,Diesel,Manual,First,26,1498,98.6,5,11730,1,0,1
2016,55137,Petrol,Manual,First,14,796,35,5,3110,1,1,1
2014,93325,Diesel,Manual,Second,17.2,1968,138.1,5,14450,1,0,0
2018,38000,Diesel,Manual,First,24.52,1248,88.5,7,8700,1,0,1
2016,57738,Diesel,Manual,First,24,1120,70,5,5040,1,0,1
2017,38282,Diesel,Manual,First,28.09,1248,88.5,5,8500,1,0,1
2014,64000,Diesel,Automatic,First,19.27,2143,170,5,15650,0,0,1
2015,32000,Diesel,Manual,First,20.5,1248,91.72,5,5650,1,0,1
2010,83000,Petrol,Automatic,First,10.93,2497,204,5,16500,0,1,1
2011,76000,CNG,Manual,First,26.3,998,67.1,5,2000,1,0,1
2012,67200,Petrol,Manual,First,15.04,1598,103.6,5,3900,1,1,1
2013,62655,Diesel,Automatic,First,18.88,1995,184,5,14500,0,0,1
2015,16900,Diesel,Automatic,First,14.69,2993,258,5,44000,0,0,1
2017,8471,Petrol,Manual,First,18.9,1197,81.86,5,5000,1,1,1
2016,69000,Diesel,Automatic,First,11.36,2755,171.5,7,19750,0,0,1
2017,30090,Diesel,Automatic,First,19.6,1461,108.45,5,11440,0,0,1
2011,120000,Diesel,Manual,First,18,1248,75,5,1750,1,0,1
2016,35939,Petrol,Manual,First,12.3,1796,185,5,30420,1,1,1
2013,116694,Diesel,Manual,First,15.1,2179,140,7,9570,1,0,1
2016,40448,Diesel,Manual,First,15.96,2523,62.1,7,3500,1,0,1
2018,64456,Diesel,Manual,First,24.3,1248,88.5,5,10460,1,0,1
2014,52782,Diesel,Manual,First,20.5,1248,91.72,5,4850,1,0,1
2016,51672,Petrol,Manual,First,19.5,1199,88.76,5,5680,1,1,1
2015,56073,Petrol,Automatic,First,13.7,1798,157.75,5,13250,0,1,1
2011,65000,Diesel,Automatic,First,14.74,2993,270.9,5,16000,0,0,1
2013,79000,Petrol,Manual,First,18.9,998,67.1,5,3000,1,1,1
2010,70200,Petrol,Automatic,First,14.53,1798,138.1,5,5000,0,1,1
2016,42000,Petrol,Manual,First,16.1,1197,85,5,4750,1,1,1
2014,62000,Petrol,Manual,First,16.47,1198,74,5,5350,1,1,1
2017,20000,Petrol,Manual,First,18.9,1197,81.86,5,5980,1,1,1
2011,80000,Diesel,Manual,Third,21.5,1248,88.8,5,3500,1,0,0
2018,50234,Petrol,Manual,First,18.9,1197,81.86,5,4770,1,1,1
2016,50003,Petrol,Manual,First,21.4,1197,83.1,5,5450,1,1,1
2018,1000,Petrol,Automatic,First,20.3,1199,84,5,6850,0,1,1
2016,54897,Diesel,Automatic,First,26.59,1248,74,5,7300,0,0,1
2007,108995,Petrol,Manual,First,15.3,1193,65.3,5,1250,1,1,1
2015,73000,Diesel,Manual,First,22.7,1598,118,5,8250,1,0,1
2008,65000,Petrol,Manual,First,16.1,1298,88.2,5,2710,1,1,1
2016,32000,Petrol,Manual,First,19.1,1197,82,5,3600,1,1,1
2010,65000,Petrol,Manual,First,18.5,1197,80,5,3000,1,1,1
2016,21600,Petrol,Automatic,First,23.1,998,67.04,5,4650,0,1,1
2010,39000,Diesel,Automatic,First,14.84,2143,170,5,9500,0,0,1
2011,58075,Petrol,Manual,First,17.5,1298,85.8,5,2950,1,1,1
2011,58000,Petrol,Manual,First,15.04,1598,103.6,5,3000,1,1,1
2015,58000,Diesel,Manual,First,25.2,1248,74,5,5950,1,0,1
2008,89000,Petrol,Automatic,First,14.53,1798,138.1,5,4000,0,1,1
2008,72000,Petrol,Manual,First,13.5,1799,130,5,2500,1,1,1
2017,1800,Petrol,Automatic,First,16.05,1499,110.4,5,11370,0,1,1
2010,172050,Diesel,Manual,Second,19,1248,93,5,2250,1,0,0
2013,46230,Petrol,Manual,First,19.81,1086,68.05,5,3100,1,1,1
2014,86925,Diesel,Automatic,First,11.2,2400,215,5,17180,0,0,1
2018,5000,Petrol,Manual,First,18.6,1197,81.83,5,6500,1,1,1
2014,66000,Diesel,Manual,First,26,1498,98.6,5,5700,1,0,1
2013,119000,Diesel,Manual,First,12.99,2494,100,8,8000,1,0,1
2016,45000,Petrol,Manual,First,25.17,799,53.3,5,2600,1,1,1
2009,66149,Petrol,Manual,First,19,998,66.1,5,2450,1,1,1
2014,42070,Petrol,Automatic,First,14.8,1595,120.7,5,11570,0,1,1
2012,35503,Petrol,Manual,First,18.9,998,67.1,5,2300,1,1,1
2016,41460,Diesel,Manual,First,25.2,1248,74,5,5900,1,0,1
2015,40600,Petrol,Automatic,First,17,1591,121.3,5,7200,0,1,1
2013,87000,Diesel,Automatic,First,22,1582,126.2,5,5900,0,0,1
2014,30000,Petrol,Manual,Second,16.8,1497,116.3,5,6000,1,1,0
2010,27089,Petrol,Manual,First,16,1086,66.7,5,1950,1,1,1
2016,53702,Diesel,Manual,First,23.59,1364,67.04,5,6550,1,0,1
2015,51000,Diesel,Automatic,First,27.03,1969,190,5,25000,0,0,1
2012,36542,Diesel,Manual,First,20,1399,68.05,5,2650,1,0,1
2017,15000,Diesel,Automatic,First,13,2987,265,5,69500,0,0,1
2012,65000,Diesel,Automatic,First,22.69,1995,190,5,14000,0,0,1
2014,32000,Petrol,Manual,Second,22.74,796,47.3,5,2100,1,1,0
2017,24393,Diesel,Manual,First,13.68,2393,147.8,7,20400,1,0,1
2019,1000,Petrol,Manual,First,18.78,999,75,5,5680,1,1,1
2014,28238,Petrol,Manual,First,13.24,1598,102.5,5,5550,1,1,1
2013,59000,Diesel,Manual,First,13.5,2477,175.56,7,12750,1,0,1
2012,92000,Petrol,Manual,Second,14.8,1799,130.2,5,3350,1,1,0
2013,56840,Petrol,Manual,First,22.74,796,47.3,5,1550,1,1,1
2013,62746,Diesel,Manual,Second,20.54,1598,103.6,5,5900,1,0,0
2012,96000,Diesel,Automatic,First,12.35,2179,187.74,5,18980,0,0,1
2014,24000,Petrol,Manual,First,13.7,1997,153.86,5,11510,1,1,1
2016,54000,Diesel,Manual,First,20.77,1248,88.76,7,7750,1,0,1
2016,90000,Diesel,Manual,First,12.99,2494,100.6,7,13900,1,0,1
2010,40000,Petrol,Manual,First,15,1368,90,5,1350,1,1,1
2015,65938,Diesel,Automatic,Second,12.07,2967,241.4,7,38000,0,0,0
2017,16100,Petrol,Automatic,First,17.1,1591,121.4,5,11600,0,1,1
2017,3600,Diesel,Automatic,First,21.5,1498,108.5,5,12250,0,0,1
2011,52000,Petrol,Manual,First,17,1497,118,5,3800,1,1,1
2014,54000,Diesel,Manual,First,20,1399,68.05,5,3250,1,0,1
2016,15399,Petrol,Manual,First,18.7,1199,88.7,5,6400,1,1,1
2012,75000,Petrol,Manual,Second,16.47,1198,73.9,5,3950,1,1,0
2010,76752,Petrol,Manual,First,17.4,1497,117.3,5,3570,1,1,1
2005,56000,Petrol,Manual,Second,17.7,1497,78,5,1250,1,1,0
2015,70000,CNG,Manual,First,26.2,998,58.2,5,3650,1,0,1
2013,46125,Petrol,Automatic,Second,12,2354,187.4,5,12500,0,1,0
2014,35000,Diesel,Automatic,Second,18.12,1995,190,5,23000,0,0,0
2003,80000,Diesel,Manual,Third,12.8,1489,35.5,5,1350,1,0,0
2012,62729,Diesel,Manual,First,12.05,2179,120,8,6320,1,0,1
2012,34000,Diesel,Manual,First,20.54,1598,103.6,5,3400,1,0,1
1999,70000,Petrol,Manual,Second,17.3,993,60,5,770,1,1,0
2009,32000,Petrol,Manual,First,16.1,796,37,4,900,1,1,1
2017,21000,Petrol,Automatic,First,14.28,1798,138.03,5,18000,0,1,1
2013,49000,Petrol,Automatic,First,14.59,1997,245,5,19000,0,1,1
2007,40000,Petrol,Manual,Third,13.8,1299,70,5,1100,1,1,0
2012,78000,Petrol,Manual,Second,18.6,1199,79.4,5,2000,1,1,0
2012,52000,Diesel,Manual,First,21.43,1364,86.79,5,6500,1,0,1
2014,65213,Diesel,Manual,First,16,2179,140,7,9450,1,0,1
2016,170000,Diesel,Manual,First,24.4,1120,71,5,4000,1,0,1
2017,36884,Diesel,Automatic,First,13,2143,204,5,32250,0,0,1
2009,62500,Petrol,Manual,First,20.36,1197,78.9,5,2100,1,1,1
2015,68000,Petrol,Automatic,Second,14.28,1798,138.03,5,9750,0,1,0
2014,40748,Petrol,Manual,First,14.53,1798,138,5,6300,1,1,1
2013,60000,Diesel,Automatic,First,17.32,1968,184,5,21000,0,0,1
2014,12400,Diesel,Manual,First,21.9,1396,88.8,5,4650,1,0,1
2013,87000,Diesel,Automatic,Second,19.27,2143,167.62,5,17000,0,0,0
2013,20248,Diesel,Manual,First,21.1,1248,73.9,5,4350,1,0,1
2017,52383,Diesel,Manual,First,19.67,1582,126.2,5,14820,1,0,1
2018,1000,Diesel,Automatic,First,13.6,1999,177,5,40000,0,0,1
2016,85000,Diesel,Manual,First,14.95,2489,93.7,7,6150,1,0,1
2014,47000,Diesel,Manual,First,12.99,2494,100.6,7,11250,1,0,1
2018,17585,Petrol,Automatic,First,19.16,2494,157.7,5,32000,0,1,1
2018,32496,Diesel,Automatic,First,13.22,2967,241.4,5,45620,0,0,1
2017,34613,Diesel,Manual,First,28.4,1248,74,5,6240,1,0,1
2015,153000,Diesel,Manual,First,20.77,1248,88.76,7,4800,1,0,1
2014,54000,Petrol,Manual,Second,16.1,1197,85,5,4500,1,1,0
2015,16900,Petrol,Manual,First,20.36,1197,78.9,5,3870,1,1,1
2013,62334,Petrol,Manual,First,20.36,1197,78.9,5,2750,1,1,1
2018,23714,Petrol,Manual,First,21.4,1197,83.1,5,6570,1,1,1
2010,52325,Petrol,Manual,First,16.36,1495,93.7,5,2000,1,1,1
2012,50000,Petrol,Manual,First,19.4,1198,86.8,5,3650,1,1,1
2016,55746,Diesel,Manual,First,22.9,1248,74,5,6950,1,0,1
2014,54000,Petrol,Manual,First,20.14,1197,81.86,5,5500,1,1,1
2013,43000,Diesel,Manual,First,16,2179,140,7,7000,1,0,1
2014,40000,Diesel,Automatic,First,13,2143,201.1,5,24000,0,0,1
2016,51944,Diesel,Automatic,First,19.27,2143,170,5,32500,0,0,1
2015,46950,Diesel,Manual,First,21.27,1396,88.76,5,6450,1,0,1
2015,23000,Diesel,Automatic,First,19.3,1968,141,5,15750,0,0,1
2014,54546,Petrol,Manual,First,17,1497,118,5,5500,1,1,1
2015,51535,Diesel,Automatic,First,12.55,2982,168.5,7,19030,0,0,1
2013,45000,Diesel,Automatic,First,17.32,1968,184,5,15250,0,0,1
2012,46004,Petrol,Manual,First,20.92,998,67.1,5,2400,1,1,1
2011,124000,Diesel,Manual,First,23.03,1396,69,5,2300,1,0,1
2014,77395,Diesel,Automatic,First,17.11,1968,174.33,5,14350,0,0,1
2018,10600,CNG,Manual,First,33.44,796,40.3,4,3500,1,0,1
2018,22974,Petrol,Automatic,First,18,1497,117.3,5,11970,0,1,1
2015,65012,Diesel,Manual,First,14.24,2755,174.5,7,18900,1,0,1
2017,17125,Petrol,Manual,First,18.9,1197,82,5,5400,1,1,1
2015,90413,Petrol,Manual,First,15.1,1196,73,7,2950,1,1,1
2013,37000,Petrol,Manual,First,16.47,1198,73.9,5,5100,1,1,1
2006,65000,Petrol,Manual,First,18.9,1061,67,5,1500,1,1,1
2011,66000,Petrol,Manual,First,17,1497,118,5,4900,1,1,1
2010,86000,Petrol,Manual,First,14.8,1799,130.2,5,2900,1,1,1
2005,98437,Petrol,Manual,First,13,1493,100,5,1150,1,1,1
2010,18000,Petrol,Manual,First,18.5,1197,80,5,2300,1,1,1
2018,35070,Diesel,Manual,First,24,1120,70,5,5990,1,0,1
2011,42000,Petrol,Automatic,Third,14.4,1598,103.6,5,3400,0,1,0
2009,40000,Petrol,Manual,First,20.36,1197,78.9,5,1700,1,1,1
2009,43000,Petrol,Manual,First,17,1197,80,5,1990,1,1,1
2012,65000,Petrol,Manual,First,18.6,1199,79.4,5,2500,1,1,1
2013,74000,Diesel,Manual,First,22.07,1199,73.9,5,4850,1,0,1
2010,51192,Petrol,Manual,First,15.6,1196,70,5,2650,1,1,1
2014,14262,Petrol,Automatic,First,9.9,1984,207.8,2,27350,0,1,1
2015,66339,Diesel,Manual,Second,25.1,1498,98.6,5,6900,1,0,0
2013,90200,Diesel,Manual,First,20,1399,68.05,5,3500,1,0,1
2015,57854,Diesel,Manual,First,12.99,2494,100.6,7,12500,1,0,1
2017,32000,Petrol,Automatic,First,19.12,1373,91.1,5,9200,0,1,1
2015,29631,Petrol,Automatic,First,18.9,1197,82,5,4900,0,1,1
2014,54173,Petrol,Manual,First,18.88,999,123.24,5,5550,1,1,1
2014,50000,Petrol,Automatic,First,14.7,1798,177.6,5,13500,0,1,1
2010,145000,Diesel,Manual,First,20.4,1248,91.7,5,2600,1,0,1
2015,78000,Petrol,Manual,First,16.1,1298,88.2,5,4500,1,1,1
2013,65000,Diesel,Automatic,Second,11.8,2993,180,7,34000,0,0,0
2012,120000,Diesel,Manual,First,12.8,2494,102,7,12000,1,0,1
2015,14000,Diesel,Manual,First,28.4,1248,74,5,5250,1,0,1
2014,57456,Diesel,Automatic,First,17.68,1968,174.33,5,21560,0,0,1
2012,44450,Diesel,Automatic,First,22.48,1995,190,5,24680,0,0,1
2013,63777,Petrol,Manual,First,18.5,1197,82.9,5,3670,1,1,1
2016,31000,Diesel,Automatic,First,17.05,1995,190,5,29500,0,0,1
2012,60000,Petrol,Manual,First,17.6,1496,88.73,5,3100,1,1,1
2015,78008,Diesel,Manual,First,17,1405,70,5,2900,1,0,1
2009,27078,Petrol,Automatic,First,10.98,1984,114.4,4,15950,0,1,1
2011,57275,Diesel,Manual,First,19.7,1598,103.6,5,4500,1,0,1
2014,45000,Diesel,Manual,First,24,1120,70,5,3490,1,0,1
2014,57319,Diesel,Manual,First,25.2,1248,74,5,4250,1,0,1
2008,121097,Diesel,Manual,Second,24,1396,88.76,5,1900,1,0,0
2011,89000,Diesel,Automatic,First,16.73,1995,218,5,16570,0,0,1
2012,72000,Petrol,Manual,First,17,1497,118,5,5750,1,1,1
2013,36000,Diesel,Automatic,Second,16.55,1968,147.51,5,14000,0,0,0
2013,86000,Diesel,Manual,Second,19.5,1248,75,5,2500,1,0,0
2002,85000,Petrol,Manual,First,13,1343,90,5,1200,1,1,1
2013,37613,Diesel,Automatic,First,22.69,1995,190,5,13950,0,0,1
2007,100000,Petrol,Manual,First,16.6,1388,68,5,1600,1,1,1
2016,5240,Petrol,Automatic,First,21.9,624,37.48,4,3600,0,1,1
2018,20000,CNG,Manual,First,15.1,1196,73,5,4500,1,0,1
2019,16862,Petrol,Manual,First,20.89,1197,81.8,5,6060,1,1,1
2013,59254,Petrol,Manual,Second,17.5,1298,85.8,5,5290,1,1,0
2014,60000,Diesel,Manual,First,22.7,1498,89.84,5,5750,1,0,1
2014,47674,Petrol,Manual,First,19.1,1197,85.8,5,5720,1,1,1
2014,61517,Petrol,Automatic,First,16.95,1197,78.9,5,4390,0,1,1
2016,62946,Diesel,Manual,First,15.1,2179,140,7,11050,1,0,1
2015,66823,Diesel,Manual,Second,22.54,1396,88.73,5,4830,1,0,0
2013,79494,CNG,Manual,First,33.54,998,67.04,5,2960,1,0,1
2012,107000,Diesel,Manual,Second,21.27,1396,88.76,5,4500,1,0,0
2011,55000,Diesel,Automatic,Second,16.46,2993,258,5,19500,0,0,0
2017,24000,Petrol,Automatic,First,14.3,1598,103.52,5,8750,0,1,1
2016,20002,Diesel,Automatic,First,14.75,2967,245,7,67000,0,0,1
2016,54317,Petrol,Manual,First,17.4,1497,117.3,5,8400,1,1,1
2016,10200,Petrol,Manual,First,19.1,1197,82,5,4990,1,1,1
2016,24337,Diesel,Manual,First,26,1498,98.6,5,8180,1,0,1
2012,79000,Petrol,Manual,First,18.4,1198,86.8,5,2900,1,1,1
2015,40500,Diesel,Manual,First,28.09,1248,88.5,5,7100,1,0,1
2016,23000,Diesel,Manual,First,26.59,1248,74,5,7050,1,0,1
2015,63050,Petrol,Automatic,First,11.1,2354,158.8,5,17500,0,1,1
2008,78000,Petrol,Automatic,Second,14.53,1794,138.1,5,3410,0,1,0
2012,66245,Petrol,Manual,First,17,1497,118,5,5680,1,1,1
2007,74112,Diesel,Manual,First,12.05,2179,120,9,4100,1,0,1
2011,87670,Petrol,Manual,First,13.4,1798,157.8,5,4000,1,1,1
2015,10000,Diesel,Automatic,First,18.88,1995,184,5,30000,0,0,1
2007,62493,Petrol,Manual,First,15,1586,104.68,5,1800,1,1,1
2015,44620,Petrol,Manual,First,20.73,1373,91.1,5,6930,1,1,1
2012,66538,Diesel,Automatic,First,10.2,4367,308,7,70000,0,0,1
2013,60000,Diesel,Manual,First,12.99,2494,100,7,7900,1,0,1
2014,110000,Diesel,Automatic,First,13.01,2199,194.3,7,14400,0,0,1
2011,45000,Petrol,Automatic,Second,11.74,1796,186,5,13500,0,1,0
2014,40000,CNG,Manual,Second,26.6,998,58.16,5,3150,1,0,0
2012,49008,Petrol,Manual,First,19.7,796,46.3,5,2880,1,1,1
2016,31000,Petrol,Manual,First,24.7,796,47.3,5,2150,1,1,1
2013,8000,Petrol,Manual,First,16.95,1498,97.7,5,3750,1,1,1
2019,171,Petrol,Manual,First,24.7,796,47.3,5,3600,1,1,1
2018,2100,Petrol,Manual,First,24.07,998,67.1,5,3600,1,1,1
2018,20667,Petrol,Automatic,First,18.9,1197,81.86,5,7550,0,1,1
2015,50000,Diesel,Manual,First,24.2,1498,98.6,7,4700,1,0,1
2010,100030,Diesel,Manual,Second,18.8,1248,90,5,1600,1,0,0
2011,75372,Diesel,Manual,First,16.52,1991,123.7,5,3340,1,0,1
2016,60475,Petrol,Automatic,First,18,1497,117.3,5,9100,0,1,1
2019,18453,Petrol,Manual,First,18.9,1197,81.86,5,6170,1,1,1
2008,96578,Diesel,Manual,First,22,1582,126.2,5,2500,1,0,1
2016,31001,Petrol,Manual,First,18.44,1198,75,5,3000,1,1,1
2012,65900,Diesel,Manual,First,22.32,1582,126.32,5,5750,1,0,1
2017,26246,Petrol,Manual,First,15.29,1591,121.3,5,10750,1,1,1
2013,62700,Petrol,Manual,Second,20.51,998,67.04,5,2850,1,1,0
2008,90000,Petrol,Automatic,First,10.2,2354,180,5,6500,0,1,1
2016,36000,Petrol,Automatic,First,16.8,1497,118,5,9450,0,1,1
2016,46000,Diesel,Manual,First,27.39,1248,74,5,6750,1,0,1
2017,73003,Diesel,Manual,First,26,1498,98.6,5,7750,1,0,1
2014,46566,Diesel,Manual,First,22.54,1396,88.76,5,4400,1,0,1
2015,41493,Diesel,Automatic,First,13,2987,265,5,42000,0,0,1
2014,103788,Diesel,Manual,First,19.01,1461,108.5,5,5670,1,0,1
2016,45000,Diesel,Automatic,First,19.6,1461,108.45,5,11500,0,0,1
2009,120000,Petrol,Manual,First,18.9,998,67.1,5,1690,1,1,1
2009,97359,Diesel,Manual,Second,17.1,1493,110,5,1800,1,0,0
